Person,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1,R,R,R,R,A,D,R,R,A,A,A,A,R,R,R,R,R,R,R,R,A,A,A,B,R,R,D,B,B,B,D,
2,D,D,B,B,R,A,A,A,D,R,R,B,B,B,D,D,R,A,A,A,A,B,R,R,A,A,A,A,D,R,R,
3,R,R,A,A,A,A,B,R,R,A,B,D,D,R,R,A,A,A,A,A,R,R,D,D,B,B,R,R,R,R,R,
4,A,A,A,A,R,R,A,B,B,D,D,R,R,D,B,B,B,D,R,R,R,A,A,A,D,D,R,R,A,A,A,
5,A,A,R,R,D,B,D,D,R,R,A,A,A,A,A,R,A,B,B,D,B,R,R,A,A,A,B,D,R,D,B,
6,B,B,D,D,B,R,R,A,A,B,R,R,A,A,A,A,D,R,D,B,D,D,B,R,R,R,A,A,A,A,A,
